30/07/2017 11:53:37,,,,,,,,,,,,,,,,,,,
Type,Welsh Type,Latin,English,Welsh,Plural,Gender,unknown,unknown,Category,SubCategory,Welsh Details,English Details,Wiki Link,Picture Credit,Picture Link,Visitor,Rare,Location,unused
bird,adar,STRUTHIONIFORMES+B1:J6048,,,,,,,,,,,,,,,,,
bird,adar,1,,,,,,,,,,,,,,,,,
bird,adar,STRUTHIONIDAE,OSTRICHES,ESTRYSIAID,,,,,,,,,,,,,,,
bird,adar,Struthio camelus,ostrich,estrys,estrysiaid,g,,,STRUTHIONIFORMES+I408,STRUTHIONIDAE,,,,,,,,,
bird,adar,Struthio molybdophanes,Somali ostrich,estrys Somalia,estrysiaid Somalia,g,,,STRUTHIONIFORMES,STRUTHIONIDAE,,,,,,,,,
bird,adar,RHEIFORMES,,,,,,,,,,,,,,,,,
bird,adar,2,,,,,,,,,,,,,,,,,
bird,adar,RHEIDAE,RHEAS,RHEAOD,,,,,,,,,,,,,,,
bird,adar,Rhea americana,greater rhea,rhea mawr,rheaod mawr,g,,,RHEIFORMES,RHEIDAE,,,,,,,,,
bird,adar,Pterocnemia pennata,lesser rhea,rhea bach,rheaod bach,g,,,RHEIFORMES,RHEIDAE,,,,,,,,,
bird,adar,CASUARAIIFORMES,,,,,,,,,,,,,,,,,
bird,adar,3,,,,,,,,,,,,,,,,,
bird,adar,CASUARIIDAE,CASSOWARIES,CASOWARÏAID,,,,,,,,,,,,,,,
bird,adar,Casuarius casuarius,double-wattled cassowary,casowari'r De,casowarïaidy De,g,,,CASUARAIIFORMES,CASUARIIDAE,,,,,,,,,
bird,adar,Casuarius bennetti,dwarf cassowary,corgasowari,corgasowarïaid,g,,,CASUARAIIFORMES,CASUARIIDAE,,,,,,,,,
bird,adar,Casuarius unappendiculatus,one-wattled cassowary,casowari'r Gogledd,casowarïaid y Gogledd,g,,,CASUARAIIFORMES,CASUARIIDAE,,,,,,,,,
bird,adar,4,,,,,,,,,,,,,,,,,
bird,adar,DROMAIIDAE,EMUS,EMIWIAID,,,,,,,,,,,,,,,
bird,adar,Dromaius novaehollandiae,emu,emiw,emiwiaid,g,,,CASUARAIIFORMES,DROMAIIDAE,,,,,,,,,
bird,adar,Dromaius novaehollandiae diemensis,Tasmanian emu,emiw Tasmania,emiwiaid Tasmania,g,,,CASUARAIIFORMES,DROMAIIDAE,,,,,,,,,
bird,adar,Dromaius baudinianus,Kangaroo Island emu,emiw Ynys y Cangarŵod,emiwiaid Ynys y Cangarŵod,g,,,CASUARAIIFORMES,DROMAIIDAE,,,,,,,,,
bird,adar,Dromaius ater,King Island emu,emiw Ynys King,emiwiaid Ynys King,g,,,CASUARAIIFORMES,DROMAIIDAE,,,,,,,,,
bird,adar,APTERYGIFORMES,,,,,,,,,,,,,,,,,
bird,adar,5,,,,,,,,,,,,,,,,,
bird,adar,APTERYGIDAE,KIWIS,CIWÏOD,,,,,,,,,,,,,,,
bird,adar,Apteryx australis,brown kiwi,ciwi brown,ciwïodbrown,g,,,APTERYGIFORMES,APTERYGIDAE,,,,,,,,,
bird,adar,Apteryx owenii,little spotted kiwi,ciwi brith bach,ciwïod brith bach,g,,,APTERYGIFORMES,APTERYGIDAE,,,,,,,,,
bird,adar,Apteryx haastii,great spotted kiwi,ciwi brith mawr,ciwïod brith mawr,g,,,APTERYGIFORMES,APTERYGIDAE,,,,,,,,,
bird,adar,TINAMIFORMES,,,,,,,,,,,,,,,,,
bird,adar,6,,,,,,,,,,,,,,,,,
bird,adar,TINAMIDAE,TINAMOUS,TINAMŴAID,,,,,,,,,,,,,,,
bird,adar,Tinamus tao,grey tinamou,tinamŵmawr llwyd,tinamŵaid mawr llwyd,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Tinamus solitarius,solitary tinamou,tinamŵ mawr unig,tinamŵaid mawr unig,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Tinamus osgoodi,black tinamou,tinamŵ mawr du,tinamŵaid mawr du,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Tinamus major,great tinamou,tinamŵ mawr cyffredin,tinamŵaid mawr cyffredin,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Tinamus guttatus,white-throated tinamou,tinamŵ mawr gyddfwyn,tinamŵaid mawr gyddfwyn,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothocercus bonapartei,highland tinamou,tinamŵ'r ucheldir,tinamŵaid yr ucheldir,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothocercus julius,tawny-breasted tinamou,tinamŵ bron llwydfelen,tinamŵaid bron lwydfelen,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothocercus nigrocapillus,hooded tinamou,tinamŵ cycyllog,tinamŵaid cycyllog,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus cinereus,cinereous tinamou,tinamŵ unlliw,tinamŵaid unlliw,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus berlepschi,Berlepsch's tinamou,tinamŵ Berlepsch,tinamŵaid Berlepsch,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus soui,little tinamou,tinamŵ bach,tinamŵaid bach,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus ptaritepui,tepui tinamou,tinamŵ tepwi,tinamŵaid tepwi,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus obsoletus,brown tinamou,tinamŵ brown,tinamŵaid brown,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus undulatus,undulated tinamou,tinamŵ tonnog,tinamŵaid tonnog,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus transfasciatus,pale-browed tinamou,tinamŵ aelwyn,tinamŵaid aelwyn,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus strigulosus,Brazilian tinamou,tinamŵ rhychog,tinamŵaid rhychog,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus duidae,grey-legged tinamou,tinamŵ coeslwyd,tinamŵaid coeslwyd,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus erythropus,red-footed tinamou,tinamŵ coesgoch,tinamŵaid coesgoch,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus noctivagus,yellow-legged tinamou,tinamŵ coesfelyn,tinamŵaid coesfelyn,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus atrocapillus,black-capped tinamou,tinamŵ penddu,tinamŵaid penddu,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus cinnamoneus,thicket tinamou,tinamŵ llwyni,tinamŵaid llwyni,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus boucardi,slaty-breasted tinamou,tinamŵ bronllwyd,tinamŵaid bronllwyd,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus kerriae,Choco tinamou,tinamŵ Choco,tinamŵaid Choco,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus variegatus,variegated tinamou,tinamŵ amryliw,tinamŵaid amryliw,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus brevirostris,rusty tinamou,tinamŵ coch,tinamŵaid cochion,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus bartletti,Bartlett's tinamou,tinamŵ Bartlett,tinamŵaid Bartlett,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus parvirostris,small-billed tinamou,tinamŵ pigfach,tinamŵaid pigfach,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus casiquiare,barred tinamou,tinamŵ rhesog,tinamŵaid rhesog,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Crypturellus tataupa,tataupa tinamou,tinamŵ tataupa,tinamŵaid tataupa,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Rhynchotus rufescens,red-winged tinamou,tinamŵ adeingoch,tinamŵaid adeingoch,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
bird,adar,Nothoprocta tacznowskii,Taczanowski's tinamou,tinamŵ Taczanowski,tinamŵaid Taczanowski,g,,,TINAMIFORMES,TINAMIDAE,,,,,,,,,
